%time,field.DevID,field.MsgID,field.Data,field.Time
1495789768383877004,10,5,136,1495789768.38
1495789768384402769,10,3,-177,1495789768.38
1495789768431390798,10,5,136,1495789768.43
1495789768431976907,10,3,-177,1495789768.43
1495789768481576298,10,5,136,1495789768.48
1495789768482591302,10,3,-177,1495789768.48
1495789768534669082,10,5,136,1495789768.53
1495789768536187363,10,3,-177,1495789768.53
1495789768581257063,10,5,136,1495789768.58
1495789768582056117,10,3,-177,1495789768.58
1495789768631267054,10,5,136,1495789768.63
1495789768631876629,10,3,-177,1495789768.63
1495789768681514084,10,5,136,1495789768.68
1495789768681803507,10,3,-177,1495789768.68
1495789768731471344,10,5,136,1495789768.73
1495789768731791916,10,3,-177,1495789768.73
1495789768781152173,10,5,136,1495789768.78
1495789768781872166,10,3,-177,1495789768.78
1495789768831012917,10,5,136,1495789768.83
1495789768831717685,10,3,-177,1495789768.83
1495789768881089185,10,5,136,1495789768.88
1495789768881696315,10,3,-177,1495789768.88
1495789768931081366,10,5,136,1495789768.93
1495789768931669291,10,3,-177,1495789768.93
1495789768981063977,10,5,136,1495789768.98
1495789768981684867,10,3,-177,1495789768.98
1495789769035145017,10,5,136,1495789769.03
1495789769035716389,10,3,-177,1495789769.03
1495789769081054067,10,5,136,1495789769.08
1495789769081649882,10,3,-177,1495789769.08
1495789769131024601,10,5,136,1495789769.13
1495789769131616925,10,3,-177,1495789769.13
1495789769181079846,10,5,136,1495789769.18
1495789769181692494,10,3,-177,1495789769.18
1495789769230917886,10,5,136,1495789769.23
1495789769231511886,10,3,-177,1495789769.23
1495789769281592488,10,5,136,1495789769.28
1495789769282294602,10,3,-177,1495789769.28
1495789769331214582,10,5,136,1495789769.33
1495789769331821013,10,3,-177,1495789769.33
1495789769381453934,10,5,136,1495789769.38
1495789769381516232,10,3,-177,1495789769.38
1495789769432987509,10,5,136,1495789769.43
1495789769433028785,10,3,-177,1495789769.43
1495789769481098233,10,5,136,1495789769.48
1495789769482035922,10,3,-177,1495789769.48
1495789769534107979,10,5,136,1495789769.53
1495789769534336639,10,3,-177,1495789769.53
1495789769581542502,10,5,136,1495789769.58
1495789769581812508,10,3,-177,1495789769.58
1495789769631145041,10,5,136,1495789769.63
1495789769631462539,10,3,-177,1495789769.63
1495789769681251205,10,5,136,1495789769.68
1495789769681504869,10,3,-177,1495789769.68
1495789769730975192,10,5,136,1495789769.73
1495789769731254068,10,3,-177,1495789769.73
1495789769781054673,10,5,136,1495789769.78
1495789769781254489,10,3,-177,1495789769.78
1495789769830846971,10,5,136,1495789769.83
1495789769830910248,10,3,-177,1495789769.83
1495789769881190317,10,5,136,1495789769.88
1495789769881933568,10,3,-177,1495789769.88
1495789769931455507,10,5,136,1495789769.93
1495789769932033374,10,3,-177,1495789769.93
1495789769981462841,10,5,136,1495789769.98
1495789769982082962,10,3,-177,1495789769.98
1495789770033331237,10,5,136,1495789770.03
1495789770033925027,10,3,-177,1495789770.03
1495789770081981282,10,5,136,1495789770.08
1495789770082649453,10,3,-177,1495789770.08
1495789770134628830,10,5,136,1495789770.13
1495789770134998359,10,3,-177,1495789770.13
1495789770182350050,10,5,136,1495789770.18
1495789770182403130,10,3,-177,1495789770.18
1495789770230947640,10,5,136,1495789770.23
1495789770231278548,10,3,-177,1495789770.23
1495789770281071542,10,5,136,1495789770.28
1495789770281642843,10,3,-177,1495789770.28
1495789770331941839,10,5,136,1495789770.33
1495789770332645070,10,3,-98,1495789770.33
1495789770383718184,10,5,136,1495789770.38
1495789770384313232,10,3,-99,1495789770.38
1495789770432425777,10,5,136,1495789770.43
1495789770432976406,10,3,136,1495789770.43
1495789770483126707,10,5,136,1495789770.48
1495789770483175875,10,3,96,1495789770.48
1495789770535556208,10,5,136,1495789770.53
1495789770536174862,10,3,75,1495789770.53
1495789770582039631,10,5,136,1495789770.58
1495789770582254323,10,3,136,1495789770.58
1495789770631936483,10,5,136,1495789770.63
1495789770632643626,10,3,-177,1495789770.63
1495789770683208296,10,5,136,1495789770.68
1495789770683445547,10,3,-177,1495789770.68
1495789770733298812,10,5,136,1495789770.73
1495789770733498837,10,3,-154,1495789770.73
1495789770783053043,10,5,136,1495789770.78
1495789770783334224,10,3,-147,1495789770.78
1495789770831520312,10,5,136,1495789770.83
1495789770832152375,10,3,91,1495789770.83
1495789770884957276,10,5,136,1495789770.88
1495789770885147453,10,3,86,1495789770.88
1495789770934237494,10,5,136,1495789770.93
1495789770934602136,10,3,74,1495789770.93
1495789770990441222,10,5,136,1495789770.98
1495789770990832892,10,3,-101,1495789770.98
1495789771036486668,10,5,136,1495789771.03
1495789771037040439,10,3,136,1495789771.03
1495789771085267731,10,5,136,1495789771.08
1495789771085634398,10,3,136,1495789771.08
1495789771132239487,10,5,136,1495789771.13
1495789771132832579,10,3,136,1495789771.13
1495789771185540540,10,5,136,1495789771.18
1495789771186181404,10,3,136,1495789771.18
1495789771231858859,10,5,132,1495789771.23
1495789771232456352,10,3,136,1495789771.23
1495789771281100244,10,5,122,1495789771.28
1495789771281437159,10,3,136,1495789771.28
1495789771333686333,10,5,119,1495789771.33
1495789771334009768,10,3,136,1495789771.33
1495789771384155321,10,5,106,1495789771.38
1495789771384487277,10,3,136,1495789771.38
1495789771435296813,10,5,136,1495789771.43
1495789771435919588,10,3,136,1495789771.43
1495789771481848400,10,5,136,1495789771.48
1495789771482531657,10,3,136,1495789771.48
1495789771533942662,10,5,136,1495789771.53
1495789771534724676,10,3,136,1495789771.53
1495789771582224155,10,5,128,1495789771.58
1495789771582877520,10,3,136,1495789771.58
1495789771631470781,10,5,122,1495789771.63
1495789771631926007,10,3,136,1495789771.63
1495789771681102160,10,5,104,1495789771.68
1495789771681958555,10,3,136,1495789771.68
1495789771731626322,10,5,-177,1495789771.73
1495789771732302945,10,3,136,1495789771.73
1495789771782841354,10,5,-177,1495789771.78
1495789771791552870,10,3,136,1495789771.78
1495789771831512277,10,5,-177,1495789771.83
1495789771832409667,10,3,136,1495789771.83
1495789771883902391,10,5,-177,1495789771.88
1495789771884501489,10,3,136,1495789771.88
1495789771930985544,10,5,-177,1495789771.93
1495789771931182287,10,3,136,1495789771.93
1495789771980994695,10,5,-177,1495789771.98
1495789771981255971,10,3,136,1495789771.98
1495789772031993987,10,5,-177,1495789772.03
1495789772032534699,10,3,136,1495789772.03
1495789772080947559,10,5,-177,1495789772.08
1495789772081595825,10,3,136,1495789772.08
1495789772133634708,10,5,-177,1495789772.13
1495789772134276479,10,3,136,1495789772.13
1495789772183459760,10,5,-177,1495789772.18
1495789772184166693,10,3,136,1495789772.18
1495789772233305412,10,5,-177,1495789772.23
1495789772234039584,10,3,136,1495789772.23
1495789772282792291,10,5,-177,1495789772.28
1495789772282847605,10,3,136,1495789772.28
1495789772331120366,10,5,-177,1495789772.33
1495789772331513642,10,3,136,1495789772.33
1495789772383054975,10,5,-177,1495789772.38
1495789772383348099,10,3,136,1495789772.38
1495789772431819273,10,5,-177,1495789772.43
1495789772432175394,10,3,136,1495789772.43
1495789772482455459,10,5,-177,1495789772.48
1495789772482796774,10,3,136,1495789772.48
1495789772532454555,10,5,-177,1495789772.53
1495789772533136486,10,3,136,1495789772.53
1495789772581448356,10,5,-177,1495789772.58
1495789772582103607,10,3,136,1495789772.58
1495789772632377878,10,5,-177,1495789772.63
1495789772633250404,10,3,136,1495789772.63
1495789772682840793,10,5,-177,1495789772.68
1495789772683432348,10,3,136,1495789772.68
1495789772733537041,10,5,-177,1495789772.73
1495789772734193829,10,3,136,1495789772.73
1495789772782873969,10,5,-177,1495789772.78
1495789772783068407,10,3,136,1495789772.78
1495789772834242304,10,5,-177,1495789772.83
1495789772834852647,10,3,136,1495789772.83
1495789772881170133,10,5,-177,1495789772.88
1495789772881311003,10,3,136,1495789772.88
1495789772931434973,10,5,-177,1495789772.93
1495789772932228651,10,3,136,1495789772.93
1495789772981820498,10,5,-177,1495789772.98
1495789772982880480,10,3,136,1495789772.98
1495789773039974894,10,5,-177,1495789773.03
1495789773041164571,10,3,136,1495789773.03
1495789773081054698,10,5,-177,1495789773.08
1495789773081766171,10,3,136,1495789773.08
1495789773134197979,10,5,-177,1495789773.13
1495789773134804969,10,3,136,1495789773.13
1495789773187402022,10,5,-177,1495789773.18
1495789773188237882,10,3,136,1495789773.18
1495789773231016922,10,5,-177,1495789773.23
1495789773231807525,10,3,136,1495789773.23
1495789773282571941,10,5,-177,1495789773.28
1495789773283244442,10,3,136,1495789773.28
1495789773331448128,10,5,-177,1495789773.33
1495789773331693689,10,3,136,1495789773.33
1495789773381125258,10,5,-177,1495789773.38
1495789773381848115,10,3,136,1495789773.38
1495789773434204146,10,5,-177,1495789773.43
1495789773434809041,10,3,136,1495789773.43
1495789773481264597,10,5,-177,1495789773.48
1495789773482244331,10,3,136,1495789773.48
1495789773532957343,10,5,-177,1495789773.53
1495789773533244810,10,3,136,1495789773.53
1495789773582914114,10,5,-177,1495789773.58
1495789773583694800,10,3,136,1495789773.58
1495789773635197790,10,5,-177,1495789773.63
1495789773637378234,10,3,136,1495789773.63
1495789773684598418,10,5,-177,1495789773.68
1495789773685266590,10,3,136,1495789773.68
1495789773731429090,10,5,-177,1495789773.73
1495789773732581471,10,3,136,1495789773.73
1495789773782024700,10,5,-177,1495789773.78
1495789773782268516,10,3,136,1495789773.78
1495789773831551391,10,5,-177,1495789773.83
1495789773832161524,10,3,136,1495789773.83
1495789773883167943,10,5,-177,1495789773.88
1495789773883228635,10,3,136,1495789773.88
1495789773931224260,10,5,-177,1495789773.93
1495789773931566204,10,3,136,1495789773.93
1495789773986031440,10,5,-177,1495789773.98
1495789773987892712,10,3,136,1495789773.98
1495789774030928698,10,5,-177,1495789774.03
1495789774032505644,10,3,136,1495789774.03
1495789774084384239,10,5,-177,1495789774.08
1495789774085613445,10,3,136,1495789774.08
1495789774131379672,10,5,-177,1495789774.13
